Analysis LNG Fleet ,,,,,,,,,,
Date,LNG Spot Rate,LNG Fleet No. Vessels,LNG Fleet CBM,LNG New Orders,LNG Orderbook,LNG Deliveries,LNG Demolition and Removals,LNG Production,LNG Removals,
1990-Q1,,,115.74,,,,,,,
1990-Q2,,,,,,,,,,
1990-Q3,,,,,,,,,,
1990-Q4,,,,,,,,,,
1991-Q1,,,,,,,,,,
1991-Q2,,,,,,,,,,
1991-Q3,,,,,,,,,,
1991-Q4,,,,,,,,,,
1992-Q1,,,,,,,,,,
1992-Q2,,,,,,,,,,
1992-Q3,,,,,,,,,,
1992-Q4,,,,,,,,,,
1993-Q1,,,,,,,,,,
1993-Q2,,,,,,,,,,
1993-Q3,,,,,,,,,,
1993-Q4,,,,,,,,,,
1994-Q1,,,,,,,,,,
1994-Q2,,,,,,,,,,
1994-Q3,,,,,,,,,,
1994-Q4,,,,,,,,,,
1995-Q1,,,,,,,,,,
1995-Q2,,,,,,,,,,
1995-Q3,,,,,,,,,,
1995-Q4,,,,,,,,,,
1996-Q1,,,,,,,,,,
1996-Q2,,,,,,,,,,
1996-Q3,,,,,,,,,,
1996-Q4,,,,,,,,,,
1997-Q1,,,,,,,,,,
1997-Q2,,,,,,,,,,
1997-Q3,,,,,,,,,,
1997-Q4,,,,,,,,,,
1998-Q1,,,,,,,,,,
1998-Q2,,,,,,,,,,
1998-Q3,,,,,,,,,,
1998-Q4,,,,,,,,,,
1999-Q1,,,,,,,,,,
1999-Q2,,,,,,,,,,
1999-Q3,,,,,,,,,,
1999-Q4,,,,,,,,,,
2000-Q1,,,,,,,,,,
2000-Q2,,,,,,,,,,
2000-Q3,,,,,,,,,,
2000-Q4,,,,,,,,,,
2001-Q1,,,,,,,,,,
2001-Q2,,,,,,,,,,
2001-Q3,,,,,,,,,,
2001-Q4,,,,,,,,,,
2002-Q1,,,,,,,,,,
2002-Q2,,,,,,,,,,
2002-Q3,,,,,,,,,,
2002-Q4,,,,,,,,,,
2003-Q1,,,,,,,,,,
2003-Q2,,,,,,,,,,
2003-Q3,,,,,,,,,,
2003-Q4,,,,,,,,,,
2004-Q1,,,,,,,,,,
2004-Q2,,,,,,,,,,
2004-Q3,,,,,,,,,,
2004-Q4,,,,,,,,,,
2005-Q1,,,,,,,,,,
2005-Q2,,,,,,,,,,
2005-Q3,,,,,,,,,,
2005-Q4,44000,185,,17,124,8,,,,
2006-Q1,45000,193,,18,133,7,,,,
2006-Q2,62000,200,,7,143,5,,,,
2006-Q3,80000,205,,5,145,8,,,,
2006-Q4,91000,213,,6,142,8,,,,
2007-Q1,78000,221,,13,140,9,,,,
2007-Q2,59000,230,,1,144,6,,,,
2007-Q3,68000,235,,3,139,6,,,,
2007-Q4,62000,241,,9,136,11,,,,
2008-Q1,63000,252,,3,134,10,,,,
2008-Q2,49000,260,,2,127,14,,,,
2008-Q3,60500,272,,0,115,11,,,,
2008-Q4,38000,282,,0,104,17,,,,
2009-Q1,37000,298,,0,86,14,,,,
2009-Q2,29000,312,,0,72,9,,,,
2009-Q3,36000,320,,0,61,5,,,,
2009-Q4,51000,324,,0,56,12,,,,
2010-Q1,33000,336,,2,44,7,,,,
2010-Q2,22000,342,,2,39,8,,,,
2010-Q3,29500,350,,2,33,7,,,,
2010-Q4,62000,356,,0,28,5,,,,
2011-Q1,76000,361,,9,23,2,,,,
2011-Q2,86000,362,,21,30,3,,,,
2011-Q3,105000,363,,16,48,4,,,,
2011-Q4,145000,366,,4,60,7,,,,
2012-Q1,121000,373,,12,57,1,,,,
2012-Q2,148000,372,,9,68,0,,,,
2012 -Q3,123000,371,,6,77,1,,,,
2012-Q4,118000,372,,9,80,1,,,,
2013-Q1,106000,372,,12,86,2,,,,
2013-Q2,89000,373,,5,101,0,,,,
2013-Q3,,,,,,,,,,
2013-Q4,,,,,,,,,,
2014-Q1,,,,,,,,,,
2014-Q2,,,,,,,,,,
2014-Q3,,,,,,,,,,
2014-Q4,,,,,,,,,,
2015-Q1,,,,,,,,,,
2015-Q2,,,,,,,,,,
2015-Q3,,,,,,,,,,
2015-Q4,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
