Date,Spot Market ($/day)
2-Jan-08,"$32,000"
9-Jan-08,#N/A
16-Jan-08,"$31,333"
23-Jan-08,"$30,667"
30-Jan-08,"$30,333"
6-Feb-08,"$29,667"
13-Feb-08,"$29,667"
20-Feb-08,"$29,333"
27-Feb-08,"$29,333"
5-Mar-08,"$29,333"
12-Mar-08,"$29,000"
19-Mar-08,$0
26-Mar-08,"$29,000"
2-Apr-08,"$29,000"
9-Apr-08,"$28,333"
16-Apr-08,"$28,333"
23-Apr-08,"$28,333"
30-Apr-08,"$28,333"
7-May-08,"$29,333"
14-May-08,"$29,333"
21-May-08,"$29,333"
28-May-08,"$29,333"
4-Jun-08,"$29,333"
11-Jun-08,"$29,333"
18-Jun-08,"$29,333"
25-Jun-08,"$29,000"
2-Jul-08,"$29,000"
9-Jul-08,"$29,000"
16-Jul-08,"$29,167"
23-Jul-08,"$29,167"
30-Jul-08,"$29,167"
6-Aug-08,"$29,167"
13-Aug-08,"$29,167"
20-Aug-08,"$29,167"
27-Aug-08,"$29,167"
3-Sep-08,"$29,167"
10-Sep-08,"$30,000"
17-Sep-08,"$30,667"
24-Sep-08,"$30,667"
1-Oct-08,"$30,667"
8-Oct-08,"$30,667"
15-Oct-08,"$30,333"
22-Oct-08,"$30,333"
29-Oct-08,"$30,333"
5-Nov-08,"$30,333"
12-Nov-08,"$30,333"
19-Nov-08,"$30,000"
26-Nov-08,"$29,667"
3-Dec-08,"$29,000"
10-Dec-08,"$28,333"
17-Dec-08,"$28,333"
24-Dec-08,"$28,333"
31-Dec-08,"$28,333"
7-Jan-09,"$28,333"
14-Jan-09,"$28,333"
21-Jan-09,"$28,333"
28-Jan-09,#N/A
4-Feb-09,"$27,667"
11-Feb-09,"$26,667"
18-Feb-09,"$26,667"
25-Feb-09,"$26,667"
4-Mar-09,"$26,667"
11-Mar-09,"$26,667"
18-Mar-09,"$26,667"
25-Mar-09,"$26,667"
1-Apr-09,"$26,667"
8-Apr-09,#N/A
15-Apr-09,"$26,667"
22-Apr-09,"$26,667"
29-Apr-09,"$26,667"
6-May-09,"$26,000"
13-May-09,"$26,000"
20-May-09,"$25,333"
27-May-09,"$25,333"
3-Jun-09,"$25,000"
10-Jun-09,"$25,000"
17-Jun-09,"$24,333"
24-Jun-09,"$24,333"
1-Jul-09,"$24,333"
8-Jul-09,"$23,333"
15-Jul-09,"$23,333"
22-Jul-09,"$23,333"
29-Jul-09,"$23,333"
5-Aug-09,"$23,333"
12-Aug-09,"$23,333"
19-Aug-09,"$23,333"
26-Aug-09,"$23,333"
2-Sep-09,"$23,333"
9-Sep-09,"$23,333"
16-Sep-09,"$23,333"
23-Sep-09,"$23,333"
30-Sep-09,"$23,333"
7-Oct-09,"$23,333"
14-Oct-09,"$23,333"
21-Oct-09,"$23,333"
28-Oct-09,"$23,333"
4-Nov-09,"$23,333"
11-Nov-09,"$22,667"
18-Nov-09,"$20,667"
25-Nov-09,"$20,000"
2-Dec-09,"$20,000"
9-Dec-09,"$2,000"
16-Dec-09,"$20,833"
23-Dec-09,"$20,000"
30-Dec-09,#N/A
6-Jan-10,"$18,667"
13-Jan-10,"$18,667"
20-Jan-10,"$18,667"
27-Jan-10,"$19,333"
3-Feb-10,"$20,000"
10-Feb-10,"$20,000"
17-Feb-10,"$20,000"
24-Feb-10,"$20,000"
3-Mar-10,"$19,000"
10-Mar-10,"$19,000"
17-Mar-10,"$18,333"
24-Mar-10,"$18,333"
31-Mar-10,#N/A
7-Apr-10,"$18,333"
