Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources
2-Jan-08,"$32,000",$0,$0,$0,$0
9-Jan-08,#N/A,$0,$0,$0,$0
16-Jan-08,"$31,333",$0,$0,$0,$0
23-Jan-08,"$30,667",$0,$0,$0,$0
30-Jan-08,"$30,333",$0,$0,$0,$0
6-Feb-08,"$29,667",$0,$0,$0,$0
13-Feb-08,"$29,667",$0,$0,$0,$0
20-Feb-08,"$29,333",$0,$0,$0,$0
27-Feb-08,"$29,333",$0,$0,$0,$0
5-Mar-08,"$29,333",$0,$0,$0,$0
12-Mar-08,"$29,000",$0,$0,$0,$0
19-Mar-08,#N/A,$0,$0,$0,$0
26-Mar-08,"$29,000",$0,$0,$0,$0
2-Apr-08,"$29,000",$0,$0,$0,$0
9-Apr-08,"$28,333",$0,$0,$0,$0
16-Apr-08,"$28,333",$0,$0,$0,$0
23-Apr-08,"$28,333",$0,$0,$0,$0
30-Apr-08,"$28,333",$0,$0,$0,$0
7-May-08,"$29,333",$0,$0,$0,$0
14-May-08,"$29,333",$0,$0,$0,$0
21-May-08,"$29,333",$0,$0,$0,$0
28-May-08,"$29,333",$0,$0,$0,$0
4-Jun-08,"$29,333",$0,$0,$0,$0
11-Jun-08,"$29,333",$0,$0,$0,$0
18-Jun-08,"$29,333",$0,$0,$0,$0
25-Jun-08,"$29,000",$0,$0,$0,$0
2-Jul-08,"$29,000",$0,$0,$0,$0
9-Jul-08,"$29,000",$0,$0,$0,$0
16-Jul-08,"$29,167",$0,$0,$0,$0
23-Jul-08,"$29,167",$0,$0,$0,$0
30-Jul-08,"$29,167",$0,$0,$0,$0
6-Aug-08,"$29,167",$0,$0,$0,$0
13-Aug-08,"$29,167",$0,$0,$0,$0
20-Aug-08,"$29,167",$0,$0,$0,$0
27-Aug-08,"$29,167",$0,$0,$0,$0
3-Sep-08,"$29,167",$0,$0,$0,$0
10-Sep-08,"$30,000",$0,$0,$0,$0
17-Sep-08,"$30,667",$0,$0,$0,$0
24-Sep-08,"$30,667",$0,$0,$0,$0
1-Oct-08,"$30,667",$0,$0,$0,$0
8-Oct-08,"$30,667",$0,$0,$0,$0
15-Oct-08,"$30,333",$0,$0,$0,$0
22-Oct-08,"$30,333",$0,$0,$0,$0
29-Oct-08,"$30,333",$0,$0,$0,$0
5-Nov-08,"$30,333",$0,$0,$0,$0
12-Nov-08,"$30,333",$0,$0,$0,$0
19-Nov-08,"$30,000",$0,$0,$0,$0
26-Nov-08,"$29,667",$0,$0,$0,$0
3-Dec-08,"$29,000",$0,$0,$0,$0
10-Dec-08,"$28,333",$0,$0,$0,$0
17-Dec-08,"$28,333",$0,$0,$0,$0
24-Dec-08,"$28,333",$0,$0,$0,$0
31-Dec-08,"$28,333",$0,$0,$0,$0
7-Jan-09,"$28,333",$0,$0,$0,$0
14-Jan-09,"$28,333",$0,$0,$0,$0
21-Jan-09,"$28,333",$0,$0,$0,$0
28-Jan-09,#N/A,$0,$0,$0,$0
4-Feb-09,"$27,667",$0,$0,$0,$0
11-Feb-09,"$26,667",$0,$0,$0,$0
18-Feb-09,"$26,667",$0,$0,$0,$0
25-Feb-09,"$26,667",$0,$0,$0,$0
4-Mar-09,"$26,667",$0,$0,$0,$0
11-Mar-09,"$26,667",$0,$0,$0,$0
18-Mar-09,"$26,667",$0,$0,$0,$0
25-Mar-09,"$26,667",$0,$0,$0,$0
1-Apr-09,"$26,667",$0,$0,$0,$0
8-Apr-09,#N/A,$0,$0,$0,$0
15-Apr-09,"$26,667",$0,$0,$0,$0
22-Apr-09,"$26,667",$0,$0,$0,$0
29-Apr-09,"$26,667",$0,$0,$0,$0
6-May-09,"$26,000",$0,$0,$0,$0
13-May-09,"$26,000",$0,$0,$0,$0
20-May-09,"$25,333",$0,$0,$0,$0
27-May-09,"$25,333",$0,$0,$0,$0
3-Jun-09,"$25,000",$0,$0,$0,$0
10-Jun-09,"$25,000",$0,$0,$0,$0
17-Jun-09,"$24,333",$0,$0,$0,$0
