Date,Spot Market ($/day)
2/23/05,"$29,167"
3/2/05,"$29,167"
3/9/05,"$29,167"
3/16/05,"$29,167"
3/23/05,"$29,167"
3/30/05,"$29,167"
4/6/05,"$29,167"
4/13/05,"$29,167"
4/20/05,"$29,167"
4/27/05,"$28,833"
5/4/05,"$28,500"
5/11/05,"$28,500"
5/18/05,"$28,500"
5/25/05,"$28,167"
6/1/05,"$28,167"
6/8/05,"$28,167"
6/15/05,"$28,167"
6/22/05,"$28,167"
6/29/05,"$28,167"
7/6/05,"$28,167"
7/13/05,"$28,167"
7/20/05,"$28,167"
7/27/05,"$28,167"
8/3/05,"$28,833"
8/10/05,"$29,000"
8/17/05,"$29,000"
8/24/05,"$29,000"
8/31/05,"$29,167"
9/7/05,"$29,333"
9/14/05,"$29,500"
9/21/05,"$29,500"
9/28/05,"$29,500"
10/5/05,"$29,500"
10/12/05,"$29,667"
10/19/05,"$29,667"
10/26/05,"$31,667"
11/2/05,"$32,000"
11/9/05,"$36,667"
11/16/05,"$38,333"
11/23/05,"$37,500"
11/30/05,"$37,500"
12/7/05,"$36,667"
12/14/05,"$36,667"
12/21/05,"$36,667"
12/28/05,
1/4/06,"$36,667"
1/11/06,"$36,667"
1/18/06,"$36,667"
1/25/06,"$36,667"
2/1/06,"$36,667"
2/8/06,"$36,667"
2/15/06,"$36,667"
2/22/06,"$36,667"
3/1/06,"$35,833"
3/8/06,"$35,000"
3/15/06,"$33,333"
3/22/06,"$33,000"
3/29/06,"$33,000"
4/5/06,"$33,000"
4/12/06,
4/19/06,"$33,000"
4/26/06,"$33,000"
5/3/06,"$33,333"
5/10/06,"$33,333"
5/17/06,"$33,000"
5/24/06,"$32,833"
5/31/06,"$32,833"
6/7/06,"$33,000"
6/14/06,"$32,833"
6/21/06,"$32,833"
6/28/06,"$32,667"
7/5/06,"$32,500"
7/12/06,"$32,500"
7/19/06,"$32,333"
7/26/06,"$32,333"
8/2/06,"$32,000"
8/9/06,"$32,000"
8/16/06,"$32,000"
8/23/06,"$31,667"
8/30/06,"$31,333"
9/6/06,"$31,333"
9/13/06,"$30,667"
9/20/06,"$30,667"
9/27/06,"$30,000"
10/4/06,"$29,333"
10/11/06,"$29,333"
10/18/06,"$28,333"
10/25/06,"$28,000"
11/1/06,"$28,000"
11/8/06,"$27,500"
11/15/06,"$29,167"
11/22/06,"$29,167"
11/29/06,"$30,833"
12/6/06,"$30,833"
12/13/06,"$31,667"
12/20/06,"$31,667"
12/27/06,"$31,667"
1/3/07,"$31,667"
1/10/07,"$31,667"
1/17/07,"$31,000"
1/24/07,"$30,333"
1/31/07,"$30,333"
2/7/07,"$30,333"
2/14/07,"$31,667"
2/21/07,"$31,667"
2/28/07,"$31,667"
3/7/07,"$31,667"
3/14/07,"$31,667"
3/21/07,"$32,333"
3/28/07,"$32,333"
4/4/07,"$32,333"
4/11/07,"$32,333"
4/18/07,"$32,333"
4/25/07,"$32,333"
5/2/07,"$32,333"
5/9/07,"$32,667"
5/16/07,"$32,667"
5/23/07,"$32,667"
5/30/07,"$32,667"
6/6/07,"$32,667"
6/13/07,"$32,667"
6/20/07,"$32,667"
6/27/07,"$32,667"
7/4/07,"$32,667"
7/11/07,"$32,667"
7/18/07,"$32,667"
7/25/07,"$32,667"
8/1/07,"$32,667"
8/8/07,"$31,333"
8/15/07,"$31,333"
8/22/07,"$31,333"
8/29/07,"$31,333"
9/5/07,"$30,667"
9/12/07,"$30,667"
9/19/07,"$30,667"
9/26/07,"$30,667"
10/3/07,"$30,667"
10/10/07,"$30,667"
10/17/07,"$30,667"
10/24/07,"$30,500"
10/31/07,"$31,000"
11/7/07,"$31,000"
11/14/07,"$31,000"
11/21/07,"$31,000"
11/28/07,"$31,333"
12/5/07,"$31,500"
12/12/07,"$31,667"
12/19/07,"$31,833"
12/26/07,
1/2/08,"$31,833"
1/9/08,
1/16/08,"$30,000"
1/23/08,"$30,000"
1/30/08,"$30,000"
2/6/08,"$30,333"
2/13/08,"$30,333"
2/20/08,"$30,333"
2/27/08,"$30,333"
3/5/08,"$30,333"
3/12/08,"$30,167"
3/19/08,"$30,167"
3/26/08,"$30,167"
4/2/08,"$29,667"
4/9/08,"$29,667"
4/16/08,"$29,500"
4/23/08,"$29,500"
4/30/08,"$29,000"
5/7/08,"$28,833"
5/14/08,"$28,833"
5/21/08,"$28,833"
5/28/08,"$28,833"
6/4/08,"$28,667"
6/11/08,"$28,500"
6/18/08,"$28,667"
6/25/08,"$28,667"
7/2/08,"$28,333"
7/9/08,"$28,333"
7/16/08,"$28,167"
7/23/08,"$28,167"
7/30/08,"$28,167"
8/6/08,"$28,167"
8/13/08,"$30,000"
8/20/08,"$30,000"
8/27/08,"$30,000"
9/3/08,"$30,000"
9/10/08,"$30,000"
9/17/08,"$30,000"
9/24/08,"$30,000"
10/1/08,"$29,167"
10/8/08,"$29,167"
10/15/08,"$29,167"
10/22/08,"$29,167"
10/29/08,"$27,167"
11/5/08,"$27,167"
11/12/08,"$27,167"
11/19/08,"$25,833"
11/26/08,"$23,333"
12/3/08,"$20,500"
12/10/08,"$20,000"
12/17/08,"$18,333"
12/24/08,"$18,333"
12/31/08,"$18,333"
1/7/09,"$17,167"
1/14/09,"$17,167"
1/21/09,"$17,167"
1/28/09,
2/4/09,"$17,167"
2/11/09,"$18,333"
2/18/09,"$18,333"
2/25/09,"$18,333"
3/4/09,"$19,167"
3/11/09,"$20,333"
3/18/09,"$20,333"
3/25/09,"$20,333"
4/1/09,"$19,667"
4/8/09,
4/15/09,"$19,667"
4/22/09,"$19,667"
4/29/09,"$19,667"
5/6/09,"$18,667"
5/13/09,"$18,333"
5/20/09,"$18,333"
5/27/09,"$17,500"
6/3/09,"$17,500"
6/10/09,"$17,500"
6/17/09,"$17,500"
6/24/09,"$17,500"
7/1/09,"$17,500"
7/8/09,"$17,500"
7/15/09,"$17,500"
7/22/09,"$17,167"
7/29/09,"$17,167"
8/5/09,"$17,167"
8/12/09,"$17,167"
8/19/09,"$17,167"
8/26/09,"$18,333"
9/2/09,"$19,333"
9/9/09,"$19,833"
9/16/09,"$19,833"
9/23/09,"$19,833"
9/30/09,"$19,833"
10/7/09,"$18,333"
10/14/09,"$17,667"
10/21/09,"$16,667"
10/28/09,"$16,667"
11/4/09,"$16,667"
11/11/09,"$17,500"
11/18/09,"$17,500"
11/25/09,"$17,500"
12/2/09,"$17,500"
12/9/09,"$17,500"
12/16/09,"$17,833"
12/23/09,"$17,833"
12/30/09,
1/6/10,"$18,000"
1/13/10,"$18,000"
1/20/10,"$18,000"
1/27/10,"$18,000"
2/3/10,"$18,000"
2/10/10,"$18,000"
2/17/10,"$18,000"
2/24/10,"$18,000"
3/3/10,"$17,000"
3/10/10,"$17,000"
3/17/10,"$17,000"
3/24/10,"$16,000"
3/31/10,
4/7/10,"$16,000"
4/14/10,"$15,333"
4/21/10,"$15,333"
4/28/10,"$17,333"
5/5/10,"$18,500"
5/12/10,"$18,500"
5/19/10,"$18,500"
5/26/10,"$18,500"
6/2/10,"$18,500"
6/9/10,"$18,500"
6/16/10,"$18,667"
6/23/10,"$18,667"
6/30/10,"$19,167"
