Sector:,Liquid Propane Gas (LPG),,,,,,,,,,
Fleet:,Very Large Gas Carrier - Fully Refridgerated,,,,,,,,,,
Sheet:,Fleet Master,,,,,,,,,,
Frequency:,Weekly (Friday),,,,,,,,,,
Quandl:,LPG_R/VLGC_FR,,,,,,,,,,
,,,,,,,,,,,
Conventions,,,,,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,,,,,
  This sheet depends on the base line values given in Instructions sheet.,,,,,,,,,,,
  A negative Order Book DWT value means more capacity was removed from Order Book than existed.  This is a consistency error in Deliveries DWT or Demolitions DWT in  Fleet Data Input Sheet for the date where this occurs.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Date,Vessels,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Order Book,Order Book CBM,,
"April 4, 2004",400,2,"180,000",1,"160,000",1,"220,000",4,"800,000",,
"April 11, 2004",401,1,"250,000",0,"250,000",1,"180,000",4,"730,000 ",,
"April 18, 2004",401,0,"200,000",0,"175,000",0,0,4,"530,000 ",,
"April 25, 2004",402,1,0,0,0,3,0,6,"530,000 ",,
"May 2, 2004",402,0,0,0,0,2,0,8,"530,000 ",,
"May 9, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"May 16, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"May 23, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"May 30, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"June 6, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"June 13, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"June 20, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"June 27, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"July 4, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"July 11, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"July 18, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"July 25, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"August 1, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"August 8, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"August 15, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"August 22, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"August 29, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"September 5, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"September 12, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"September 19, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"September 26, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"October 3, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"October 10, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"October 17, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"October 24, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"October 31, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
