Sector:,Liquified Propane Gas (LPG),,,,
Fleet:,Very Large Gas Carrier - Fully Refrigerated,,,,
Sheet:,Rates Master,,,,
Frequency:,Weekly (Friday),,,,
Quandl:,LPG_R/VLGC_FR,,,,
,,,,,
Conventions,,,,,
  Data are as of close of business on Fridays.,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,
  A price of $0 normally means no data for that date.,,,,,
,,,,,
,,,,,
Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources
8/31/05,"$47,167",$0,$0,$0,
9/7/05,"$58,333",$0,$0,$0,
9/14/05,"$58,333",$0,$0,$0,
9/21/05,"$58,333",$0,$0,$0,
9/28/05,"$47,167",$0,$0,$0,
10/5/05,"$45,833",$0,$0,$0,
10/12/05,"$50,833",$0,$0,$0,
10/19/05,"$50,833",$0,$0,$0,
10/26/05,"$49,333",$0,$0,$0,
11/2/05,"$44,167",$0,$0,$0,
11/9/05,"$42,500",$0,$0,$0,
11/16/05,"$42,500",$0,$0,$0,
11/23/05,"$31,667",$0,$0,$0,
11/30/05,"$35,833",$0,$0,$0,
12/7/05,"$38,333",$0,$0,$0,
12/14/05,"$38,333",$0,$0,$0,
12/21/05,"$42,333",$0,$0,$0,
12/28/05,$0,$0,$0,$0,missing in source
1/4/06,"$42,333",$0,$0,$0,
1/11/06,"$46,000",$0,$0,$0,
1/18/06,"$48,333",$0,$0,$0,
1/25/06,"$50,000",$0,$0,$0,
2/1/06,"$53,333",$0,$0,$0,
2/8/06,"$53,333",$0,$0,$0,
2/15/06,"$53,333",$0,$0,$0,
2/22/06,"$37,333",$0,$0,$0,
3/1/06,"$35,833",$0,$0,$0,
3/8/06,"$35,333",$0,$0,$0,
3/15/06,"$36,000",$0,$0,$0,
3/22/06,"$36,667",$0,$0,$0,
3/29/06,"$44,000",$0,$0,$0,
4/5/06,"$44,000",$0,$0,$0,
4/12/06,$0,$0,$0,$0,
4/19/06,"$45,000",$0,$0,$0,
4/26/06,"$45,000",$0,$0,$0,
5/3/06,"$55,833",$0,$0,$0,
5/10/06,"$55,833",$0,$0,$0,
5/17/06,"$55,833",$0,$0,$0,
5/24/06,"$51,000",$0,$0,$0,
5/31/06,"$55,167",$0,$0,$0,
6/7/06,"$57,333",$0,$0,$0,
6/14/06,"$62,333",$0,$0,$0,
6/21/06,"$62,333",$0,$0,$0,
6/28/06,"$62,333",$0,$0,$0,
7/5/06,"$59,667",$0,$0,$0,
7/12/06,"$63,167",$0,$0,$0,
7/19/06,"$63,167",$0,$0,$0,
7/26/06,"$63,167",$0,$0,$0,
8/2/06,"$63,000",$0,$0,$0,
8/9/06,"$58,333",$0,$0,$0,
8/16/06,"$57,500",$0,$0,$0,
8/23/06,"$56,667",$0,$0,$0,
8/30/06,"$48,000",$0,$0,$0,
9/6/06,"$48,000",$0,$0,$0,
9/13/06,"$42,167",$0,$0,$0,
9/20/06,"$42,167",$0,$0,$0,
9/27/06,"$37,333",$0,$0,$0,
10/4/06,"$28,333",$0,$0,$0,
10/11/06,"$24,500",$0,$0,$0,
10/18/06,"$24,500",$0,$0,$0,
10/25/06,"$26,500",$0,$0,$0,
11/1/06,"$28,667",$0,$0,$0,
11/8/06,"$29,667",$0,$0,$0,
11/15/06,"$30,500",$0,$0,$0,
11/22/06,"$34,000",$0,$0,$0,
11/29/06,"$34,000",$0,$0,$0,
12/6/06,"$21,500",$0,$0,$0,
12/13/06,"$20,667",$0,$0,$0,
12/20/06,"$20,667",$0,$0,$0,
12/27/06,"$20,667",$0,$0,$0,
1/3/07,"$21,167",$0,$0,$0,
1/10/07,"$20,000",$0,$0,$0,
1/17/07,"$20,000",$0,$0,$0,
1/24/07,"$12,333",$0,$0,$0,
1/31/07,"$12,333",$0,$0,$0,
2/7/07,"$12,333",$0,$0,$0,
2/14/07,"$12,833",$0,$0,$0,
2/21/07,"$13,000",$0,$0,$0,
2/28/07,"$13,667",$0,$0,$0,
3/7/07,"$15,167",$0,$0,$0,
3/14/07,"$18,333",$0,$0,$0,
3/21/07,"$20,833",$0,$0,$0,
3/28/07,"$20,000",$0,$0,$0,
4/4/07,"$20,500",$0,$0,$0,
4/11/07,"$20,500",$0,$0,$0,
4/18/07,"$21,333",$0,$0,$0,
4/25/07,"$25,833",$0,$0,$0,
5/2/07,"$25,833",$0,$0,$0,
5/9/07,"$25,833",$0,$0,$0,
5/16/07,"$25,833",$0,$0,$0,
5/23/07,"$28,500",$0,$0,$0,
5/30/07,"$30,000",$0,$0,$0,
6/6/07,"$30,000",$0,$0,$0,
6/13/07,"$28,500",$0,$0,$0,
6/20/07,"$28,500",$0,$0,$0,
6/27/07,"$28,500",$0,$0,$0,
7/4/07,"$28,500",$0,$0,$0,
7/11/07,"$28,500",$0,$0,$0,
7/18/07,"$34,000",$0,$0,$0,
7/25/07,"$36,667",$0,$0,$0,
8/1/07,"$28,333",$0,$0,$0,
8/8/07,"$33,000",$0,$0,$0,
8/15/07,"$37,167",$0,$0,$0,
8/22/07,"$35,333",$0,$0,$0,
8/29/07,"$38,000",$0,$0,$0,
9/5/07,"$47,333",$0,$0,$0,
9/12/07,"$47,333",$0,$0,$0,
9/19/07,"$47,333",$0,$0,$0,
9/26/07,"$47,333",$0,$0,$0,
10/3/07,"$47,333",$0,$0,$0,
10/10/07,"$26,833",$0,$0,$0,
10/17/07,"$23,667",$0,$0,$0,
10/24/07,"$27,167",$0,$0,$0,
10/31/07,"$29,833",$0,$0,$0,
11/7/07,"$39,667",$0,$0,$0,
11/14/07,"$47,000",$0,$0,$0,
11/21/07,"$43,833",$0,$0,$0,
11/28/07,"$35,667",$0,$0,$0,
12/5/07,"$35,333",$0,$0,$0,
12/12/07,"$42,217",$0,$0,$0,
12/19/07,"$36,500",$0,$0,$0,
12/26/07,$0,$0,$0,$0,
1/2/08,"$35,000",$0,$0,$0,
1/9/08,$0,$0,$0,$0,
1/16/08,"$13,667",$0,$0,$0,
1/23/08,"$16,167",$0,$0,$0,
1/30/08,"$16,833",$0,$0,$0,
2/6/08,"$16,833",$0,$0,$0,
2/13/08,"$21,167",$0,$0,$0,
2/20/08,"$8,333",$0,$0,$0,
2/27/08,"$7,133",$0,$0,$0,
3/5/08,"$6,500",$0,$0,$0,
3/12/08,"$5,333",$0,$0,$0,
3/19/08,"$9,000",$0,$0,$0,
3/26/08,"$15,500",$0,$0,$0,
4/2/08,"$18,500",$0,$0,$0,
4/9/08,"$18,667",$0,$0,$0,
4/16/08,"$22,167",$0,$0,$0,
4/23/08,"$25,167",$0,$0,$0,
4/30/08,"$25,167",$0,$0,$0,
5/7/08,"$24,833",$0,$0,$0,
5/14/08,"$30,333",$0,$0,$0,
5/21/08,"$35,333",$0,$0,$0,
5/28/08,"$51,000",$0,$0,$0,
6/4/08,"$51,333",$0,$0,$0,
6/11/08,"$30,167",$0,$0,$0,
6/18/08,"$38,667",$0,$0,$0,
6/25/08,"$38,667",$0,$0,$0,
7/2/08,"$42,667",$0,$0,$0,
7/9/08,"$44,667",$0,$0,$0,
7/16/08,"$61,667",$0,$0,$0,
7/23/08,"$64,500",$0,$0,$0,
7/30/08,"$65,500",$0,$0,$0,
8/6/08,"$57,167",$0,$0,$0,
8/13/08,"$47,667",$0,$0,$0,
8/20/08,"$53,500",$0,$0,$0,
8/27/08,"$46,500",$0,$0,$0,
9/3/08,"$46,500",$0,$0,$0,
9/10/08,"$31,667",$0,$0,$0,
9/17/08,"$31,667",$0,$0,$0,
9/24/08,"$8,333",$0,$0,$0,
10/1/08,"$7,167",$0,$0,$0,
10/8/08,"$14,000",$0,$0,$0,
10/15/08,"$8,167",$0,$0,$0,
10/22/08,"$7,000",$0,$0,$0,
10/29/08,"$10,167",$0,$0,$0,
11/5/08,"$12,667",$0,$0,$0,
11/12/08,"$9,167",$0,$0,$0,
11/19/08,"$10,500",$0,$0,$0,
11/26/08,"$11,000",$0,$0,$0,
12/3/08,"$10,000",$0,$0,$0,
12/10/08,"$9,333",$0,$0,$0,
12/17/08,"$8,000",$0,$0,$0,
12/24/08,"$8,000",$0,$0,$0,
12/31/08,"$8,000",$0,$0,$0,
1/7/09,"$6,167",$0,$0,$0,
1/14/09,"$6,667",$0,$0,$0,
1/21/09,"$6,000",$0,$0,$0,
1/28/09,$0,$0,$0,$0,
2/4/09,"$6,000",$0,$0,$0,
2/11/09,"$6,000",$0,$0,$0,
2/18/09,"$6,000",$0,$0,$0,
2/25/09,"$6,000",$0,$0,$0,
3/4/09,"$6,000",$0,$0,$0,
3/11/09,"$6,000",$0,$0,$0,
3/18/09,"$6,000",$0,$0,$0,
3/25/09,"$7,667",$0,$0,$0,
4/1/09,"$9,333",$0,$0,$0,
4/8/09,"$8,333",$0,$0,$0,
4/15/09,"$6,667",$0,$0,$0,
4/22/09,"$5,333",$0,$0,$0,
4/29/09,"$4,167",$0,$0,$0,
5/6/09,"$4,167",$0,$0,$0,
5/13/09,"$4,167",$0,$0,$0,
5/20/09,"$4,167",$0,$0,$0,
5/27/09,"$5,333",$0,$0,$0,
6/3/09,"$4,667",$0,$0,$0,
6/10/09,"$3,500",$0,$0,$0,
6/17/09,"$3,500",$0,$0,$0,
6/24/09,"$3,500",$0,$0,$0,
7/1/09,"$3,500",$0,$0,$0,
7/8/09,"$9,500",$0,$0,$0,
7/15/09,"$10,333",$0,$0,$0,
7/22/09,"$8,500",$0,$0,$0,
7/29/09,"$7,667",$0,$0,$0,
