Date,TCE
2000-Jan-04,"17,960"
2000-Jan-05,"17,389"
2000-Jan-06,"16,745"
2000-Jan-07,"16,101"
2000-Jan-10,"16,028"
2000-Jan-11,"15,956"
2000-Jan-12,"15,385"
2000-Jan-13,"15,385"
2000-Jan-14,"15,385"
2000-Jan-17,"14,814"
2000-Jan-18,"14,814"
2000-Jan-19,"14,814"
2000-Jan-20,"18,811"
2000-Jan-21,"25,662"
2000-Jan-24,"26,233"
2000-Jan-25,"25,237"
2000-Jan-26,"25,237"
2000-Jan-27,"25,237"
2000-Jan-28,"24,095"
2000-Jan-31,"22,953"
2000-Feb-01,"22,382"
2000-Feb-02,"21,811"
2000-Feb-03,"21,665"
2000-Feb-04,"21,095"
2000-Feb-07,"20,524"
2000-Feb-08,"19,880"
2000-Feb-09,"19,734"
2000-Feb-10,"19,589"
2000-Feb-11,"21,156"
2000-Feb-14,"21,582"
2000-Feb-15,"22,007"
2000-Feb-16,"21,861"
2000-Feb-17,"23,429"
2000-Feb-18,"23,283"
2000-Feb-21,"23,138"
2000-Feb-22,"22,992"
2000-Feb-23,"22,847"
2000-Feb-24,"22,130"
2000-Feb-25,"21,985"
2000-Feb-28,"21,839"
2000-Feb-29,"21,122"
2000-Mar-01,"21,548"
2000-Mar-02,"21,402"
2000-Mar-03,"21,828"
2000-Mar-06,"21,682"
2000-Mar-07,"21,537"
2000-Mar-08,"22,533"
2000-Mar-09,"22,679"
2000-Mar-10,"23,395"
2000-Mar-13,"24,683"
2000-Mar-14,"26,541"
2000-Mar-15,"28,400"
2000-Mar-16,"29,687"
2000-Mar-17,"29,833"
2000-Mar-20,"32,262"
2000-Mar-21,"32,979"
2000-Mar-22,"31,982"
2000-Mar-23,"31,484"
2000-Mar-24,"31,557"
2000-Mar-27,"31,059"
2000-Mar-28,"30,560"
2000-Mar-29,"31,204"
2000-Mar-30,"32,419"
2000-Mar-31,"31,921"
2000-Apr-03,"31,994"
2000-Apr-04,"32,637"
2000-Apr-05,"32,710"
2000-Apr-06,"32,783"
2000-Apr-07,"32,103"
2000-Apr-10,"33,706"
2000-Apr-11,"33,597"
2000-Apr-12,"33,488"
2000-Apr-13,"34,521"
2000-Apr-14,"37,838"
2000-Apr-17,"40,012"
2000-Apr-18,"39,903"
2000-Apr-19,"40,365"
2000-Apr-20,"43,111"
2000-Apr-25,"41,860"
2000-Apr-26,"41,180"
2000-Apr-27,"39,929"
2000-Apr-28,"39,819"
2000-May-02,"39,139"
2000-May-03,"40,172"
2000-May-04,"40,063"
2000-May-05,"40,525"
2000-May-08,"40,416"
2000-May-09,"42,019"
2000-May-10,"41,910"
2000-May-11,"39,517"
2000-May-12,"38,266"
2000-May-15,"39,870"
2000-May-16,"40,513"
2000-May-17,"41,157"
2000-May-18,"42,372"
2000-May-19,"43,016"
2000-May-22,"45,943"
2000-May-23,"48,871"
2000-May-24,"49,515"
2000-May-25,"50,159"
2000-May-26,"50,231"
2000-May-30,"49,733"
2000-May-31,"49,806"
2000-Jun-01,"49,308"
2000-Jun-02,"49,381"
2000-Jun-05,"49,453"
2000-Jun-06,"48,955"
2000-Jun-07,"49,028"
2000-Jun-08,"49,101"
2000-Jun-09,"49,173"
2000-Jun-12,"48,675"
2000-Jun-13,"48,748"
2000-Jun-14,"47,679"
2000-Jun-15,"48,323"
2000-Jun-16,"48,395"
2000-Jun-19,"48,468"
2000-Jun-20,"48,541"
2000-Jun-21,"49,185"
2000-Jun-22,"49,257"
2000-Jun-23,"48,759"
2000-Jun-26,"48,832"
2000-Jun-27,"48,334"
2000-Jun-28,"48,977"
2000-Jun-29,"49,050"
2000-Jun-30,"49,123"
2000-Jul-03,"48,625"
2000-Jul-04,"48,698"
2000-Jul-05,"48,199"
2000-Jul-06,"48,272"
2000-Jul-07,"47,774"
2000-Jul-10,"47,847"
2000-Jul-11,"47,919"
2000-Jul-12,"47,349"
2000-Jul-13,"46,778"
2000-Jul-14,"46,778"
2000-Jul-17,"47,349"
2000-Jul-18,"47,349"
2000-Jul-19,"47,298"
2000-Jul-20,"48,960"
2000-Jul-21,"48,909"
2000-Jul-24,"48,858"
2000-Jul-25,"51,662"
2000-Jul-26,"52,753"
2000-Jul-27,"53,273"
2000-Jul-28,"54,364"
2000-Jul-31,"54,313"
2000-Aug-01,"54,833"
2000-Aug-02,"54,782"
2000-Aug-03,"53,589"
2000-Aug-04,"54,109"
2000-Aug-07,"55,771"
2000-Aug-08,"56,862"
2000-Aug-09,"59,095"
2000-Aug-10,"62,470"
2000-Aug-11,"68,129"
2000-Aug-14,"69,791"
2000-Aug-15,"73,166"
2000-Aug-16,"76,541"
2000-Aug-17,"76,490"
2000-Aug-18,"75,297"
2000-Aug-21,"75,817"
2000-Aug-22,"75,195"
2000-Aug-23,"74,573"
2000-Aug-24,"74,522"
