Sector:,Liquid Propane Gas (LPG),,SRGC Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SRGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/ETHGC,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 10,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
2-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 2, 2008 (EXTRA* First = (June 8, 2005 (Solvang 2 17000 LPG/ETH 2007)) Second = (December 14, 2005 ( Kamba Kisen 1 LPG/Ethylene 10000 2008 / I.M. Skaugen 4 LPG/Ethylene 10000 2007/2008)) Third = (May 3, 2006 ( Harpain 4+2 Eth/LPG 16800 2008/2009) Fourth = (July 12, 2006 (Harpain Reederi 4 LPG/eth )17000 2009/2010)"
9-Jan-08,0,0,0,0,0,0,missing
16-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 16, 2008 "
23-Jan-08,0,0,0,0,3,0,"Fearnley Weekly Report pdf dated January 23, 2008"
30-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 30, 2008"
6-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 6, 2008"
13-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 13, 2008"
20-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 20, 2008"
27-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 27, 2008"
5-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 5, 2008"
12-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 12, 2008"
19-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 19, 2008"
26-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 26, 2008"
2-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 2, 2008"
9-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 9 , 2008"
16-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 16, 2008"
23-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 23, 2008"
30-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 30, 2008"
7-May-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 7, 2008"
14-May-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 14, 2008"
21-May-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 21, 2008"
28-May-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 28, 2008"
4-Jun-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 4, 2008"
11-Jun-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 11, 2008 "
18-Jun-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 18, 2008"
25-Jun-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 25, 2008"
2-Jul-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 2, 2008"
9-Jul-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 9, 2008"
16-Jul-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 16, 2008"
23-Jul-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 23, 2008"
30-Jul-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 30, 2008"
6-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 6, 2008"
13-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 13, 2008"
20-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 20, 2008"
27-Aug-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 27, 2008"
3-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 3, 2008"
10-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 10, 2008"
17-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 17, 2008"
24-Sep-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 24, 2008"
1-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 1, 2008"
8-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 8, 2008"
15-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 15, 2008"
22-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 22, 2008"
29-Oct-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 29, 2008"
5-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 5, 2008"
12-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 12, 2008"
19-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 19, 2008 "
26-Nov-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 26, 2008"
3-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 3, 2008"
10-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 10, 2008"
17-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 17, 2008"
24-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 24, 2008"
31-Dec-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 31, 2008"
7-Jan-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 7, 2009"
14-Jan-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 14, 2009 "
21-Jan-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 21, 2009"
28-Jan-09,0,0,0,0,0,0,missing
4-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 4, 2009"
11-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 11, 2009 "
18-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 18, 2009"
25-Feb-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 25, 2009"
4-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 4, 2009"
11-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 11, 2009"
18-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 18, 2009"
25-Mar-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 25, 2009"
1-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 1, 2009"
8-Apr-09,0,0,0,0,0,0,Missing
15-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 15, 2009"
22-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 22, 2009"
29-Apr-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 29, 2009"
6-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 6, 2009"
13-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 13, 2009"
20-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 20, 2009"
27-May-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 27, 2009"
3-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 3, 2009"
10-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 10, 2009"
17-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 17, 2009"
24-Jun-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 24, 2009"
1-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 1, 2009"
8-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 8, 2009"
15-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 15, 2009"
22-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 22, 2009"
29-Jul-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 29, 2009"
5-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 5, 2009"
12-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 12, 2009"
19-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 19, 2009"
26-Aug-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 26, 2009"
2-Sep-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 2, 2009"
9-Sep-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated Sepptember 9, 2009"
16-Sep-09,0,0,0,0,0,0,missing
23-Sep-09,0,0,0,0,0,0,missing
30-Sep-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 30, 2009"
7-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 7, 2009"
14-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 14, 2009"
21-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 21, 2009"
28-Oct-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 28, 2009"
4-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 4, 2009"
11-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 11, 2009"
18-Nov-09,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 18, 2009"
