Sector:,Liquid Propane Gas (LPG),,LGC Fully Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,LGC-Fully Refrigerated,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/LGC_FR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry 57,000 CBM.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
4-Apr-04,0,0,0,0,0,0,test
11-Apr-04,1,"250,000",0,"250,000",1,"180,000",test
18-Apr-04,0,"200,000",0,"175,000",0,"85,000",test
25-Apr-04,1,0,0,0,3,0,test
2-May-04,0,0,0,0,0,0,
9-May-04,0,0,0,0,0,0,
16-May-04,0,0,0,0,0,0,
23-May-04,0,0,0,0,0,0,
30-May-04,0,0,0,0,0,0,
6-Jun-04,0,0,0,0,0,0,
13-Jun-04,0,0,0,0,0,0,
20-Jun-04,0,0,0,0,0,0,
27-Jun-04,0,0,0,0,0,0,
4-Jul-04,0,0,0,0,0,0,
11-Jul-04,0,0,0,0,0,0,
18-Jul-04,0,0,0,0,0,0,
25-Jul-04,0,0,0,0,0,0,
1-Aug-04,0,0,0,0,0,0,
8-Aug-04,0,0,0,0,0,0,
15-Aug-04,0,0,0,0,0,0,
22-Aug-04,0,0,0,0,0,0,
29-Aug-04,0,0,0,0,0,0,
5-Sep-04,0,0,0,0,0,0,
12-Sep-04,0,0,0,0,0,0,
19-Sep-04,0,0,0,0,0,0,
26-Sep-04,0,0,0,0,0,0,
3-Oct-04,0,0,0,0,0,0,
10-Oct-04,0,0,0,0,0,0,
17-Oct-04,0,0,0,0,0,0,
24-Oct-04,0,0,0,0,0,0,
31-Oct-04,0,0,0,0,0,0,
7-Nov-04,0,0,0,0,0,0,
14-Nov-04,0,0,0,0,0,0,
21-Nov-04,0,0,0,0,0,0,
28-Nov-04,0,0,0,0,0,0,
5-Dec-04,0,0,0,0,0,0,
12-Dec-04,0,0,0,0,0,0,
19-Dec-04,0,0,0,0,0,0,
26-Dec-04,0,0,0,0,0,0,
2-Jan-05,0,0,0,0,0,0,
9-Jan-05,0,0,0,0,0,0,
16-Jan-05,0,0,0,0,0,0,
23-Jan-05,0,0,0,0,0,0,
30-Jan-05,0,0,0,0,0,0,
6-Feb-05,0,0,0,0,0,0,
13-Feb-05,0,0,0,0,0,0,
20-Feb-05,0,0,0,0,0,0,
27-Feb-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 23, 2005"
6-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 2, 2005"
13-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 9 , 2005"
20-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 16, 2005"
27-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 23, 2005"
3-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 30, 2005"
10-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 6, 2005"
17-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 13, 2005"
24-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 20, 2005 (Komaya Shpg 1LPG 11000 2008)"
1-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 27, 2005 (Demolition LPG 4369)"
8-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 4, 2005"
15-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 11, 2005"
22-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 18, 2005"
29-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 25, 2005"
5-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 1, 2005"
12-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 8, 2005 (Solvang 2 17000 LPG/ETH 2007)"
19-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 15, 2005"
26-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 22, 2005 ( Demolition 5961 LPG)"
3-Jul-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 29, 2005 (Demolition LPG 19450)"
10-Jul-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 6, 2005"
17-Jul-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 13, 2005"
24-Jul-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 20, 2005"
31-Jul-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 27, 2005"
7-Aug-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 3, 2005"
14-Aug-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 10, 2005 ( Nav. Gas 3 22500 LPGs 2008)"
21-Aug-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 17, 2005"
28-Aug-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 24, 2005 (Unigas and Partners 2 LPGs 9000 2007)"
4-Sep-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 31, 2005"
11-Sep-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 7, 2005 ( Daelim 2 5000LPGs 2008)"
18-Sep-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 14, 2005"
25-Sep-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 21, 2005"
2-Oct-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 28, 2005 ( I.M. Skaugen 3 5800 LPGs 2007/2008)"
9-Oct-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 5, 2005 ( Sanko 2 35000 end of 2008 / Hartmann Schiff. 3 8000 LPGs 2008)"
16-Oct-05,0,0,0,0,2,"120,000","Fearnley Weekly Report pdf dated October 12, 2005 (Solvang 2 60000 2008) "
23-Oct-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 19, 2005"
30-Oct-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 26, 2005"
6-Nov-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 2, 2005"
13-Nov-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 9, 2005 ( Benelux Overseas 2+1LPG 9000 2008)"
20-Nov-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 16, 2005"
27-Nov-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 23, 2005"
4-Dec-05,0,0,0,0,4,"240,000","Fearnley Weekly Report pdf dated November 30, 2005 ( Solvang 1 60000 LPG 2008 / Neu 3 LPG 60000 2008)"
11-Dec-05,0,0,0,0,3,"180,000","Fearnley Weekly Report pdf dated December 7, 2005 ( Neu 3 60000 LPGs 2009)"
18-Dec-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 14, 2005 ( Solvang 2 17000 LPGs 2008 / Kamba Kisen 1 LPG/Ethylene 10000 2008 / I.M. Skaugen 4 LPG/Ethylene 10000 2007/2008)"
25-Dec-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 21, 2005"
1-Jan-06,0,0,0,0,0,0,Missing
8-Jan-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 4, 2006 (Nanjing Oil Tanker 4 LPG 3500 2008/2009) "
15-Jan-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 11, 2006"
22-Jan-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 18, 2006 (Benelux 1  9000LPG 2008)"
29-Jan-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 25, 2006"
5-Feb-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 1, 2006 (Cido Shipping 2 LPG 35000 2009)"
12-Feb-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 8, 2006"
19-Feb-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 15, 2006 ( Hartmann 1 LPG 18000 date n/a / Petredec 1 22500 LPG 2008 / Cido 2 LPG 35000 2009) "
26-Feb-06,0,0,1,"75,746",0,0,"Fearnley Weekly Report pdf dated February 22, 2006 ( Pretredec 1+1 LPG 22500 2009) (Demolition LPG 75746) "
5-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 1, 2006"
12-Mar-06,0,0,0,0,4,"300,000","Fearnley Weekly Report pdf dated March 8, 2006 (Solvang 1+1 LPG 75000 2008 / Neu Seeschiffahrt 1+1 LPG 75000 2009)"
19-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 15, 2006 "
26-Mar-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 22, 2006"
2-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 29, 2006"
9-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 5, 2006"
16-Apr-06,0,0,0,0,0,0,mising
23-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 19, 2006"
30-Apr-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 26, 2006"
7-May-06,0,0,0,0,1,"75,000","Fearnley Weekly Report pdf dated May 3, 2006 ( Harpain 4+2 Eth/LPG 16800 2008/2009 / Solvang 1 LPG 75000 2008)"
14-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 10, 2006 (Petredec 1 LPG 22500 2008)"
21-May-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 17, 2006 (Yuyo Steamship 1 LPG 48000dwt 2009)"
28-May-06,0,0,0,0,2,"156,000","Fearnley Weekly Report pdf dated May 24, 2006 (Daiichi Chuo 1 LPG 78000 2009 / Yuyo Steamship 1 LPG 78000 2009)"
4-Jun-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 31, 2006"
11-Jun-06,0,0,0,0,1,"78,000","Fearnley Weekly Report pdf dated June 7, 2006 ( Meiji Shipping Co 1 LPG 780000 2009)"
18-Jun-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 14, 2006"
25-Jun-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 21, 2006"
2-Jul-06,0,0,0,0,0,0,missing
9-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 5, 2006"
16-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 12, 2006 (Harpain Reederi 4 LPG/eth 17000 2009/2010 / Doun Kisen 1 VLGC 83000 2009)"
23-Jul-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 19, 2006 ( Stealth Gas Inc. 2 LPG 3300 2008)"
30-Jul-06,0,0,0,0,1,"78,000","Fearnley Weekly Report pdf dated July 26, 2006 (Meiji Shipping Co. 78000 1 LPG 2010) "
6-Aug-06,0,0,0,0,0,0,missing
13-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 9, 2006"
20-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 16, 2006 (Petredec 2 LPG 22000 2008) "
27-Aug-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 23, 2006 (Sales and Purchase VLGC by Neu Seeschiffahrt built april 2009? 82000)"
3-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 30, 2006 (Geogas Trading 1+1 LPG 22500 2008) (Stealth Gas Inc 2LPG 84000 2009/2010)"
10-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 6, 2008"
17-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 13, 2006"
24-Sep-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 20, 2006 ( LG? 3 companys buy LG - Eletson 4 LG 35000 2009/2010 / Geogas Trading 1LG 22000 2008 / Pretredec 20000 2LG 2009)"
1-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 27, 2006 (Skaugen 3200 1 LPG 2008) "
8-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 4, 2006"
15-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 11, 2006 (Petredec 2 LPG 22500 2009"
22-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 18, 2006"
29-Oct-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 25, 2006"
5-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 1, 2006"
12-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 8, 2006"
19-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 15, 2006"
26-Nov-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 22, 2006 ( Stealthgas 2 LPG 3300 2008"
3-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 29, 2006"
10-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 6, 2006"
17-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 13, 2006"
24-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 20, 2006"
31-Dec-06,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated December 27, 2006"
7-Jan-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 3, 2007 ( LGR di Navigazione 2LPG 8500 2009 )(Demolition 1 LPG 6000)"
14-Jan-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 10, 2007 ( Lauritzen Kosan 2 LPG 8000 2009)"
21-Jan-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 17, 2007 ( UNIGASInt. 3 LPG 9000 7-aug) (Demolition 1 LG 6000)"
28-Jan-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 24, 2007"
4-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 31, 2007 (Bernhard Schulte 1 LPG 23200 2010)"
11-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 7, 2007 ( Demolition 2 LPGs both 3500)"
18-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 14, 2007"
25-Feb-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 21, 2007"
4-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 28, 2007"
11-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 7, 2007 "
18-Mar-07,0,0,1,"66,800",0,0,"Fearnley Weekly Report pdf dated March 14, 2007 (Demolition 1 LPG/C 66,800 "
25-Mar-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 21, 2007"
1-Apr-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 28, 2007 (Sales and Purchase Stealthgas Gas suffix 2 5000 and 3500 built in 1994 and 1995)"
8-Apr-07,0,0,1,"77,000",0,0,"Fearnley Weekly Report pdf dated April 4, 2007 (Demolition 1 VLGC 77000)"
15-Apr-07,0,0,0,0,0,0," Fearnley Weekly Report pdf dated April 11, 2007"
22-Apr-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 18, 2007"
29-Apr-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 25, 2007 "
6-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 2, 2007 (Demolition 1 VLGC 54000) "
13-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 9, 2007"
20-May-07,0,0,1,"72,000",0,0,"Fearnley Weekly Report pdf dated May 16, 2007 ( Demolition 1 Gas 72000) ( Naftomar 2+1 LPG 22500 2010)"
27-May-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 23, 2007"
3-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 30, 2007 ( Prime 1 LPG 35000 2010) "
10-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 6, 2007"
17-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 13, 2007 (Demolition 2 LPGs 54200, 38100)"
24-Jun-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 20, 2007"
1-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 27, 2007"
8-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 4, 2007"
15-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 11, 2007"
22-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 18, 2007 ( Eitzen Group 6LPG 2500 2011)"
29-Jul-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated July 25, 2007 (Naftomar 22500 1 LPG 2010)"
5-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 1, 2007"
12-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 8, 2007"
19-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 15, 2007 (NorgasCarriers 4LNG/LPG 12000 2008) (Demolition 2Gas 47723, 46723)"
26-Aug-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 22, 2007"
2-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated August 29, 2007"
9-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 5, 2007"
16-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 12, 2007"
23-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 19, 2007 (Hartmann 2 LPG 6000 2010)"
30-Sep-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated September 26, 2007"
7-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 3, 2007"
14-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 10, 2007"
21-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 17, 2007"
28-Oct-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 24, 2007 (Rickmers Reederi 4 GC 17000dwt 2009/2011 6GC 19000dwt 2010/2011 / Mediterranea di Navigazone 4LPG 4500 2009 / Zodiac 1 LPG 80000 2011)"
4-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated October 31, 2007"
11-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 7, 2007"
18-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 14, 2007 ( Lauritzen Kosan 2 LPG 9000 2010) (Sales and purchase 3 Gas - Greek 5000, N/a 3300, N/a 3000)"
25-Nov-07,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated November 21, 2007"
