Quandl:,OTKR_R/VLCC_TD3_PMT
Date,Value
2000-Jan-04,5.68
2000-Jan-05,5.57
2000-Jan-06,5.47
2000-Jan-07,5.36
2000-Jan-10,5.36
2000-Jan-11,5.36
2000-Jan-12,5.25
2000-Jan-13,5.25
2000-Jan-14,5.25
2000-Jan-17,5.15
2000-Jan-18,5.15
2000-Jan-19,5.15
2000-Jan-20,5.9
2000-Jan-21,7.18
2000-Jan-24,7.29
2000-Jan-25,7.08
2000-Jan-26,7.08
2000-Jan-27,7.08
2000-Jan-28,6.86
2000-Jan-31,6.65
2000-Feb-01,6.54
2000-Feb-02,6.43
2000-Feb-03,6.43
2000-Feb-04,6.32
2000-Feb-07,6.22
2000-Feb-08,6.11
2000-Feb-09,6.11
2000-Feb-10,6.11
2000-Feb-11,6.43
2000-Feb-14,6.54
2000-Feb-15,6.65
2000-Feb-16,6.65
2000-Feb-17,6.97
2000-Feb-18,6.97
2000-Feb-21,6.97
2000-Feb-22,6.97
2000-Feb-23,6.97
2000-Feb-24,6.86
2000-Feb-25,6.86
2000-Feb-28,6.86
2000-Feb-29,6.75
2000-Mar-01,6.86
2000-Mar-02,6.86
2000-Mar-03,6.97
2000-Mar-06,6.97
2000-Mar-07,6.97
2000-Mar-08,7.18
2000-Mar-09,7.18
2000-Mar-10,7.29
2000-Mar-13,7.5
2000-Mar-14,7.83
2000-Mar-15,8.15
2000-Mar-16,8.36
2000-Mar-17,8.36
2000-Mar-20,8.79
2000-Mar-21,8.9
2000-Mar-22,8.68
2000-Mar-23,8.58
2000-Mar-24,8.58
2000-Mar-27,8.47
2000-Mar-28,8.36
2000-Mar-29,8.47
2000-Mar-30,8.68
2000-Mar-31,8.58
2000-Apr-03,8.58
2000-Apr-04,8.68
2000-Apr-05,8.68
2000-Apr-06,8.68
2000-Apr-07,8.58
2000-Apr-10,8.9
2000-Apr-11,8.9
2000-Apr-12,8.9
2000-Apr-13,9.11
2000-Apr-14,9.76
2000-Apr-17,10.18
2000-Apr-18,10.18
2000-Apr-19,10.29
2000-Apr-20,10.83
2000-Apr-25,10.61
2000-Apr-26,10.51
2000-Apr-27,10.29
2000-Apr-28,10.29
2000-May-02,10.18
2000-May-03,10.4
2000-May-04,10.4
2000-May-05,10.51
2000-May-08,10.51
2000-May-09,10.83
2000-May-10,10.83
2000-May-11,10.4
2000-May-12,10.18
2000-May-15,10.51
2000-May-16,10.61
2000-May-17,10.72
2000-May-18,10.93
2000-May-19,11.04
2000-May-22,11.58
2000-May-23,12.11
2000-May-24,12.22
2000-May-25,12.33
2000-May-26,12.33
2000-May-30,12.22
2000-May-31,12.22
2000-Jun-01,12.11
2000-Jun-02,12.11
2000-Jun-05,12.11
2000-Jun-06,12.01
2000-Jun-07,12.01
2000-Jun-08,12.01
2000-Jun-09,12.01
2000-Jun-12,11.9
2000-Jun-13,11.9
2000-Jun-14,11.68
2000-Jun-15,11.79
2000-Jun-16,11.79
2000-Jun-19,11.79
2000-Jun-20,11.79
2000-Jun-21,11.9
2000-Jun-22,11.9
2000-Jun-23,11.79
2000-Jun-26,11.79
2000-Jun-27,11.68
2000-Jun-28,11.79
2000-Jun-29,11.79
2000-Jun-30,11.79
2000-Jul-03,11.68
2000-Jul-04,11.68
2000-Jul-05,11.58
2000-Jul-06,11.58
2000-Jul-07,11.47
2000-Jul-10,11.47
2000-Jul-11,11.47
2000-Jul-12,11.36
2000-Jul-13,11.26
2000-Jul-14,11.26
2000-Jul-17,11.36
2000-Jul-18,11.36
2000-Jul-19,11.36
2000-Jul-20,11.68
2000-Jul-21,11.68
2000-Jul-24,11.68
2000-Jul-25,12.22
2000-Jul-26,12.44
2000-Jul-27,12.54
2000-Jul-28,12.76
2000-Jul-31,12.76
2000-Aug-01,12.86
2000-Aug-02,12.86
2000-Aug-03,12.65
2000-Aug-04,12.76
2000-Aug-07,13.08
2000-Aug-08,13.29
2000-Aug-09,13.72
2000-Aug-10,14.36
2000-Aug-11,15.44
2000-Aug-14,15.76
2000-Aug-15,16.4
2000-Aug-16,17.04
2000-Aug-17,17.04
2000-Aug-18,16.83
2000-Aug-21,16.94
2000-Aug-22,16.83
2000-Aug-23,16.72
2000-Aug-24,16.72
2000-Aug-25,16.4
2000-Aug-29,16.19
2000-Aug-30,16.29
2000-Aug-31,15.97
2000-Sep-01,15.65
2000-Sep-04,15.44
2000-Sep-05,15.12
