Sector:,Liquid Propane Gas (LPG),,SGC-SR Small Gas Carriers,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,SGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
Quandl:,LPG_R/SGC_SR,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 6,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
23-Feb-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 23, 2005"
2-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 2, 2005"
9-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 9 , 2005"
16-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 16, 2005"
23-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 23, 2005"
30-Mar-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 30, 2005"
6-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 6, 2005"
13-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 13, 2005"
20-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 20, 2005 (Komaya Shpg 1LPG 11000 2008)"
27-Apr-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 27, 2005 (Demolition LPG 4369)"
4-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 4, 2005"
11-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 11, 2005"
18-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 18, 2005"
25-May-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated May 25, 2005"
1-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 1, 2005"
8-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 8, 2005 (Solvang 2 17000 LPG/ETH 2007)"
15-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 15, 2005"
22-Jun-05,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated June 22, 2005 ( Demolition 5961 LPG)"
