Quandl Code,Name,Description

# DBLK_F/CAPE,Dry Bulk Fleet Statistics - Capesize Routes,t.b.d.
# DBLK_F/PANA,Dry Bulk Fleet Statistics - Panamax Routes,t.b.d.
# DBLK_F/SUPRA,Dry Bulk Fleet Statistics - Supramax Routes,t.b.d.
# DBLK_F/HANDY,Dry Bulk Fleet Statistics - Handysize Routes,t.b.d.

# DBLK_R/CAPE,Dry Bulk Spot Freight Rates - Capesize Routes,t.b.d.
# DBLK_R/PANA,Dry Bulk Spot Freight Rates - Panamax Routes,t.b.d.
# DBLK_R/SUPRA,Dry Bulk Spot Freight Rates - Supramax Routes,t.b.d.
# DBLK_R/HANDY,Dry Bulk Spot Freight Rates - Handysize Routes,t.b.d.

# LNG_F/CONV_V,Liquid Natural Gas (LNG) Carrier - Vessels... tbs.
# LNG_F/CONV_NO,Liquid Natural Gas (LNG) Carrier - New Orders, tbs....
# LNG_F/CONV_OB,Liquid Natural Gas (LNG) Carrier - Order Book, tbs...
# LNG_F/CONV_D,Liquid Natural Gas (LNG) Carrier - Deliveries, tbs...
# LNG_F/CONV_DM,Liquid Natural Gas (LNG) Carrier - Demolitions, tbs...


# OTKR_F/VLCC_TD3_DEL,VLCC - Arabian Gulf to Japan(TD3) - Deliveries, VLCC - # Arabian Gulf to Japan(TD3) - Deliveries
# OTKR_R/VLCC_TD3_DELSZ,VLCC - Arabian Gulf to Japan(TD3) - Deliveries (CBM)# , VLCC - Arabian Gulf to Japan(TD3) - Deliveries (CBM)

#OTKR_R/VLCC_TD3_DEM,VLCC - Arabian Gulf to Japan(TD3) - Demolitions, VLCC - #Arabian Gulf to Japan(TD3) - Demolitions
#OTKR_R/VLCC_TD3_DEMSZ,VLCC - Arabian Gulf to Japan(TD3) - Demolotions (CBM) #, VLCC - Arabian Gulf to Japan(TD3) - Demolitions (CBM)

#OTKR_R/VLCC_TD3_NO,VLCC - Arabian Gulf to Japan(TD3) - New Orders, VLCC - #Arabian Gulf to Japan(TD3) - New Orders
#OTKR_R/VLCC_TD3_NOSZ,VLCC - Arabian Gulf to Japan(TD3) - New Orders (CBM), #VLCC - Arabian Gulf to Japan(TD3) - New Orders (CBM)

#OTKR_R/VLCC_TD3_BK,VLCC - Arabian Gulf to Japan(TD3) - BOOK, VLCC - Arabian # Gulf to Japan(TD3) - BOOK
#OTKR_R/VLCC_TD3_BKSZ,VLCC - Arabian Gulf to Japan(TD3) - BOOK (CBM), VLCC - # Arabian Gulf to Japan(TD3) - BOOK (CBM)

