Quandl Code,Name,Description


# DBLK_F/CAPE,Dry Bulk Fleet Statistics - Capesize Routes,t.b.d.
# DBLK_F/PANA,Dry Bulk Fleet Statistics - Panamax Routes,t.b.d.
# DBLK_F/SUPRA,Dry Bulk Fleet Statistics - Supramax Routes,t.b.d.
# DBLK_F/HANDY,Dry Bulk Fleet Statistics - Handysize Routes,t.b.d.

# LNG_F/CONV_V,Liquid Natural Gas (LNG) Carrier - Vessels... tbs.
# LNG_F/CONV_NO,Liquid Natural Gas (LNG) Carrier - New Orders, tbs....
# LNG_F/CONV_OB,Liquid Natural Gas (LNG) Carrier - Order Book, tbs...
# LNG_F/CONV_D,Liquid Natural Gas (LNG) Carrier - Deliveries, tbs...
# LNG_F/CONV_DM,Liquid Natural Gas (LNG) Carrier - Demolitions, tbs...


# OTKR_F/VLCC_TD3_DEL,VLCC - Arabian Gulf to Japan(TD3) - Deliveries, VLCC - # Arabian Gulf to Japan(TD3) - Deliveries

# OTKR_F/VLCC_TD3_DEL,VLCC - Arabian Gulf to Japan(TD3) - Deliveries, VLCC - # Arabian Gulf to Japan(TD3) - Deliveries


