Quandl Code,Name,Description


# DBLK_R/CAPE,Dry Bulk Spot Freight Rates - Capesize Routes,t.b.d.
# DBLK_R/PANA,Dry Bulk Spot Freight Rates - Panamax Routes,t.b.d.
# DBLK_R/SUPRA,Dry Bulk Spot Freight Rates - Supramax Routes,t.b.d.
# DBLK_R/HANDY,Dry Bulk Spot Freight Rates - Handysize Routes,t.b.d.

#
# OTKR_R
#

# OTKR_R/VLCC_TD3_DELSZ,VLCC - Arabian Gulf to Japan(TD3) - Deliveries (CBM)# , VLCC - Arabian Gulf to Japan(TD3) - Deliveries (CBM)

#OTKR_R/VLCC_TD3_DEM,VLCC - Arabian Gulf to Japan(TD3) - Demolitions, VLCC - #Arabian Gulf to Japan(TD3) - Demolitions

#OTKR_R/VLCC_TD3_DEMSZ,VLCC - Arabian Gulf to Japan(TD3) - Demolotions (CBM) #, VLCC - Arabian Gulf to Japan(TD3) - Demolitions (CBM)

#OTKR_R/VLCC_TD3_NO,VLCC - Arabian Gulf to Japan(TD3) - New Orders, VLCC - #Arabian Gulf to Japan(TD3) - New Orders

#OTKR_R/VLCC_TD3_NOSZ,VLCC - Arabian Gulf to Japan(TD3) - New Orders (CBM), #VLCC - Arabian Gulf to Japan(TD3) - New Orders (CBM)

#OTKR_R/VLCC_TD3_BK,VLCC - Arabian Gulf to Japan(TD3) - BOOK, VLCC - Arabian # Gulf to Japan(TD3) - BOOK

#OTKR_R/VLCC_TD3_BKSZ,VLCC - Arabian Gulf to Japan(TD3) - BOOK (CBM), VLCC - # Arabian Gulf to Japan(TD3) - BOOK (CBM)

#
# LPG_R
#

LPG_R/MGC_FR,"Medium Gas Carriers (MGC), Fully Refrigerated","Semi-pressurized and semi refrigerated ships consist of a refrigerated plant with a high design pressure for tanks capable of transporting up to 22,000 cbm.  See also MGC_FR Fleet Statistics."
