Sector:,Liquid Propane Gas (LPG),,Medium Semi Refrigerated,,,,
Input Sheet:,Fleet Data,,,,,,
Fleet:,MGC-Semi Refrigerated Gas Carrier,,,,,,
Frequency:,Weekly (Friday),,,,,,
,,,,,,,
,,,,,,,
Conventions,,,,,,,
  Data are as of close of business on Fridays.,,,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,,,
  CBM values are the total for all vessels counted in reporting period.,,,,,,,
"  Generally these vessels are usuall carry cargo in the 22,000 CBM range.",,,,,,,
,,,,,,,
Date,Deliveries,Deliveries CBM,Demolitions,Demolitions CBM,New Orders,New Orders CBM,Sources
2-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 2, 2008 "
9-Jan-08,0,0,0,0,0,0,missing
16-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 16, 2008 ( Gas Horizon Demolition 47989)"
23-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 23, 2008"
30-Jan-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated January 30, 2008"
6-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 6, 2008"
13-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 13, 2008 ( Demolition GC 45501)"
20-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 20, 2008"
27-Feb-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated February 27, 2008"
5-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 5, 2008 (Chemgas, 2, 2700, 2010/2011 / Eships, 2, 6500, 2011 / Naftomar 2 9000 2011)"
12-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 12, 2008 ( Stealth Gas 3 5000 2010/2011 / Stealth Gas 2 7500 2011)"
19-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 19, 2008"
26-Mar-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated March 26, 2008"
2-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 2, 2008 ( Naftomar 1 9000 2011"
9-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 9 , 2008"
16-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 16, 2008 ( Naftomar 1 9000 2011"
23-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 23, 2008"
30-Apr-08,0,0,0,0,0,0,"Fearnley Weekly Report pdf dated April 30, 2008 (Geogas  1 9500 2012"
