Quandl Code|Date|PMT|TCE
 OTKR_R/VLCC_TD3_TCE|2000-Jan-04|5.68| 17,960 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-05|5.57| 17,389 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-06|5.47| 16,745 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-07|5.36| 16,101 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-10|5.36| 16,028 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-11|5.36| 15,956 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-12|5.25| 15,385 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-13|5.25| 15,385 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-14|5.25| 15,385 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-17|5.15| 14,814 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-18|5.15| 14,814 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-19|5.15| 14,814 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-20|5.90| 18,811 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-21|7.18| 25,662 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-24|7.29| 26,233 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-25|7.08| 25,237 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-26|7.08| 25,237 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-27|7.08| 25,237 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-28|6.86| 24,095 
 OTKR_R/VLCC_TD3_TCE|2000-Jan-31|6.65| 22,953 
 OTKR_R/VLCC_TD3_TCE|2000-Feb-01|6.54| 22,382 
 OTKR_R/VLCC_TD3_TCE|2000-Feb-02|6.43| 21,811 
 OTKR_R/VLCC_TD3_TCE|2000-Feb-03|6.43| 21,665 
 OTKR_R/VLCC_TD3_TCE|2000-Feb-04|6.32| 21,095 
 OTKR_R/VLCC_TD3_TCE|2000-Feb-07|6.22| 20,524 
