Quandl Code|Date|Value
VLCC_TD3_DBBL|2000-Jan-04|0.76
VLCC_TD3_DBBL|2000-Jan-05|0.74
VLCC_TD3_DBBL|2000-Jan-06|0.73
VLCC_TD3_DBBL|2000-Jan-07|0.71
VLCC_TD3_DBBL|2000-Jan-10|0.71
VLCC_TD3_DBBL|2000-Jan-11|0.71
VLCC_TD3_DBBL|2000-Jan-12|0.7
VLCC_TD3_DBBL|2000-Jan-13|0.7
VLCC_TD3_DBBL|2000-Jan-14|0.7
VLCC_TD3_DBBL|2000-Jan-17|0.69
VLCC_TD3_DBBL|2000-Jan-18|0.69
VLCC_TD3_DBBL|2000-Jan-19|0.69
VLCC_TD3_DBBL|2000-Jan-20|0.79
VLCC_TD3_DBBL|2000-Jan-21|0.96
VLCC_TD3_DBBL|2000-Jan-24|0.97
VLCC_TD3_DBBL|2000-Jan-25|0.94
VLCC_TD3_DBBL|2000-Jan-26|0.94
VLCC_TD3_DBBL|2000-Jan-27|0.94
VLCC_TD3_DBBL|2000-Jan-28|0.91
VLCC_TD3_DBBL|2000-Jan-31|0.89
VLCC_TD3_DBBL|2000-Feb-01|0.87
VLCC_TD3_DBBL|2000-Feb-02|0.86
VLCC_TD3_DBBL|2000-Feb-03|0.86
VLCC_TD3_DBBL|2000-Feb-04|0.84
VLCC_TD3_DBBL|2000-Feb-07|0.83
VLCC_TD3_DBBL|2000-Feb-08|0.81
VLCC_TD3_DBBL|2000-Feb-09|0.81
VLCC_TD3_DBBL|2000-Feb-10|0.81
VLCC_TD3_DBBL|2000-Feb-11|0.86
VLCC_TD3_DBBL|2000-Feb-14|0.87
VLCC_TD3_DBBL|2000-Feb-15|0.89
VLCC_TD3_DBBL|2000-Feb-16|0.89
VLCC_TD3_DBBL|2000-Feb-17|0.93
VLCC_TD3_DBBL|2000-Feb-18|0.93
VLCC_TD3_DBBL|2000-Feb-21|0.93
VLCC_TD3_DBBL|2000-Feb-22|0.93
VLCC_TD3_DBBL|2000-Feb-23|0.93
VLCC_TD3_DBBL|2000-Feb-24|0.91
VLCC_TD3_DBBL|2000-Feb-25|0.91
VLCC_TD3_DBBL|2000-Feb-28|0.91
VLCC_TD3_DBBL|2000-Feb-29|0.9
VLCC_TD3_DBBL|2000-Mar-01|0.91
VLCC_TD3_DBBL|2000-Mar-02|0.91
VLCC_TD3_DBBL|2000-Mar-03|0.93
VLCC_TD3_DBBL|2000-Mar-06|0.93
VLCC_TD3_DBBL|2000-Mar-07|0.93
VLCC_TD3_DBBL|2000-Mar-08|0.96
VLCC_TD3_DBBL|2000-Mar-09|0.96
VLCC_TD3_DBBL|2000-Mar-10|0.97
VLCC_TD3_DBBL|2000-Mar-13|1
VLCC_TD3_DBBL|2000-Mar-14|1.04
VLCC_TD3_DBBL|2000-Mar-15|1.09
VLCC_TD3_DBBL|2000-Mar-16|1.11
VLCC_TD3_DBBL|2000-Mar-17|1.11
VLCC_TD3_DBBL|2000-Mar-20|1.17
VLCC_TD3_DBBL|2000-Mar-21|1.19
VLCC_TD3_DBBL|2000-Mar-22|1.16
VLCC_TD3_DBBL|2000-Mar-23|1.14
VLCC_TD3_DBBL|2000-Mar-24|1.14
VLCC_TD3_DBBL|2000-Mar-27|1.13
VLCC_TD3_DBBL|2000-Mar-28|1.11
VLCC_TD3_DBBL|2000-Mar-29|1.13
VLCC_TD3_DBBL|2000-Mar-30|1.16
VLCC_TD3_DBBL|2000-Mar-31|1.14
VLCC_TD3_DBBL|2000-Apr-03|1.14
VLCC_TD3_DBBL|2000-Apr-04|1.16
VLCC_TD3_DBBL|2000-Apr-05|1.16
VLCC_TD3_DBBL|2000-Apr-06|1.16
VLCC_TD3_DBBL|2000-Apr-07|1.14
VLCC_TD3_DBBL|2000-Apr-10|1.19
VLCC_TD3_DBBL|2000-Apr-11|1.19
VLCC_TD3_DBBL|2000-Apr-12|1.19
VLCC_TD3_DBBL|2000-Apr-13|1.21
VLCC_TD3_DBBL|2000-Apr-14|1.3
VLCC_TD3_DBBL|2000-Apr-17|1.36
VLCC_TD3_DBBL|2000-Apr-18|1.36
VLCC_TD3_DBBL|2000-Apr-19|1.37
VLCC_TD3_DBBL|2000-Apr-20|1.44
VLCC_TD3_DBBL|2000-Apr-25|1.42
VLCC_TD3_DBBL|2000-Apr-26|1.4
VLCC_TD3_DBBL|2000-Apr-27|1.37
VLCC_TD3_DBBL|2000-Apr-28|1.37
VLCC_TD3_DBBL|2000-May-02|1.36
VLCC_TD3_DBBL|2000-May-03|1.39
VLCC_TD3_DBBL|2000-May-04|1.39
VLCC_TD3_DBBL|2000-May-05|1.4
VLCC_TD3_DBBL|2000-May-08|1.4
VLCC_TD3_DBBL|2000-May-09|1.44
VLCC_TD3_DBBL|2000-May-10|1.44
VLCC_TD3_DBBL|2000-May-11|1.39
VLCC_TD3_DBBL|2000-May-12|1.36
VLCC_TD3_DBBL|2000-May-15|1.4
VLCC_TD3_DBBL|2000-May-16|1.42
VLCC_TD3_DBBL|2000-May-17|1.43
VLCC_TD3_DBBL|2000-May-18|1.46
VLCC_TD3_DBBL|2000-May-19|1.47
VLCC_TD3_DBBL|2000-May-22|1.54
VLCC_TD3_DBBL|2000-May-23|1.62
VLCC_TD3_DBBL|2000-May-24|1.63
VLCC_TD3_DBBL|2000-May-25|1.64
VLCC_TD3_DBBL|2000-May-26|1.64
VLCC_TD3_DBBL|2000-May-30|1.63
VLCC_TD3_DBBL|2000-May-31|1.63
VLCC_TD3_DBBL|2000-Jun-01|1.62
VLCC_TD3_DBBL|2000-Jun-02|1.62
VLCC_TD3_DBBL|2000-Jun-05|1.62
VLCC_TD3_DBBL|2000-Jun-06|1.6
VLCC_TD3_DBBL|2000-Jun-07|1.6
VLCC_TD3_DBBL|2000-Jun-08|1.6
VLCC_TD3_DBBL|2000-Jun-09|1.6
VLCC_TD3_DBBL|2000-Jun-12|1.59
VLCC_TD3_DBBL|2000-Jun-13|1.59
VLCC_TD3_DBBL|2000-Jun-14|1.56
VLCC_TD3_DBBL|2000-Jun-15|1.57
VLCC_TD3_DBBL|2000-Jun-16|1.57
VLCC_TD3_DBBL|2000-Jun-19|1.57
VLCC_TD3_DBBL|2000-Jun-20|1.57
VLCC_TD3_DBBL|2000-Jun-21|1.59
VLCC_TD3_DBBL|2000-Jun-22|1.59
