Quandl Code|Date|Value
OTNK/VLCC_TD3_TCE|2000-Jan-04|17,960
OTNK/VLCC_TD3_TCE|2000-Jan-05|17,389
OTNK/VLCC_TD3_TCE|2000-Jan-06|16,745
OTNK/VLCC_TD3_TCE|2000-Jan-07|16,101
OTNK/VLCC_TD3_TCE|2000-Jan-10|16,028
OTNK/VLCC_TD3_TCE|2000-Jan-11|15,956
OTNK/VLCC_TD3_TCE|2000-Jan-12|15,385
OTNK/VLCC_TD3_TCE|2000-Jan-13|15,385
OTNK/VLCC_TD3_TCE|2000-Jan-14|15,385
OTNK/VLCC_TD3_TCE|2000-Jan-17|14,814
OTNK/VLCC_TD3_TCE|2000-Jan-18|14,814
OTNK/VLCC_TD3_TCE|2000-Jan-19|14,814
OTNK/VLCC_TD3_TCE|2000-Jan-20|18,811
OTNK/VLCC_TD3_TCE|2000-Jan-21|25,662
OTNK/VLCC_TD3_TCE|2000-Jan-24|26,233
OTNK/VLCC_TD3_TCE|2000-Jan-25|25,237
OTNK/VLCC_TD3_TCE|2000-Jan-26|25,237
OTNK/VLCC_TD3_TCE|2000-Jan-27|25,237
OTNK/VLCC_TD3_TCE|2000-Jan-28|24,095
OTNK/VLCC_TD3_TCE|2000-Jan-31|22,953
OTNK/VLCC_TD3_TCE|2000-Feb-01|22,382
OTNK/VLCC_TD3_TCE|2000-Feb-02|21,811
OTNK/VLCC_TD3_TCE|2000-Feb-03|21,665
OTNK/VLCC_TD3_TCE|2000-Feb-04|21,095
OTNK/VLCC_TD3_TCE|2000-Feb-07|20,524
OTNK/VLCC_TD3_TCE|2000-Feb-08|19,880
OTNK/VLCC_TD3_TCE|2000-Feb-09|19,734
OTNK/VLCC_TD3_TCE|2000-Feb-10|19,589
OTNK/VLCC_TD3_TCE|2000-Feb-11|21,156
OTNK/VLCC_TD3_TCE|2000-Feb-14|21,582
OTNK/VLCC_TD3_TCE|2000-Feb-15|22,007
OTNK/VLCC_TD3_TCE|2000-Feb-16|21,861
OTNK/VLCC_TD3_TCE|2000-Feb-17|23,429
OTNK/VLCC_TD3_TCE|2000-Feb-18|23,283
OTNK/VLCC_TD3_TCE|2000-Feb-21|23,138
OTNK/VLCC_TD3_TCE|2000-Feb-22|22,992
OTNK/VLCC_TD3_TCE|2000-Feb-23|22,847
OTNK/VLCC_TD3_TCE|2000-Feb-24|22,130
OTNK/VLCC_TD3_TCE|2000-Feb-25|21,985
OTNK/VLCC_TD3_TCE|2000-Feb-28|21,839
OTNK/VLCC_TD3_TCE|2000-Feb-29|21,122
OTNK/VLCC_TD3_TCE|2000-Mar-01|21,548
OTNK/VLCC_TD3_TCE|2000-Mar-02|21,402
OTNK/VLCC_TD3_TCE|2000-Mar-03|21,828
OTNK/VLCC_TD3_TCE|2000-Mar-06|21,682
OTNK/VLCC_TD3_TCE|2000-Mar-07|21,537
OTNK/VLCC_TD3_TCE|2000-Mar-08|22,533
OTNK/VLCC_TD3_TCE|2000-Mar-09|22,679
OTNK/VLCC_TD3_TCE|2000-Mar-10|23,395
OTNK/VLCC_TD3_TCE|2000-Mar-13|24,683
OTNK/VLCC_TD3_TCE|2000-Mar-14|26,541
OTNK/VLCC_TD3_TCE|2000-Mar-15|28,400
OTNK/VLCC_TD3_TCE|2000-Mar-16|29,687
OTNK/VLCC_TD3_TCE|2000-Mar-17|29,833
OTNK/VLCC_TD3_TCE|2000-Mar-20|32,262
OTNK/VLCC_TD3_TCE|2000-Mar-21|32,979
OTNK/VLCC_TD3_TCE|2000-Mar-22|31,982
OTNK/VLCC_TD3_TCE|2000-Mar-23|31,484
OTNK/VLCC_TD3_TCE|2000-Mar-24|31,557
OTNK/VLCC_TD3_TCE|2000-Mar-27|31,059
OTNK/VLCC_TD3_TCE|2000-Mar-28|30,560
OTNK/VLCC_TD3_TCE|2000-Mar-29|31,204
OTNK/VLCC_TD3_TCE|2000-Mar-30|32,419
OTNK/VLCC_TD3_TCE|2000-Mar-31|31,921
OTNK/VLCC_TD3_TCE|2000-Apr-03|31,994
OTNK/VLCC_TD3_TCE|2000-Apr-04|32,637
OTNK/VLCC_TD3_TCE|2000-Apr-05|32,710
OTNK/VLCC_TD3_TCE|2000-Apr-06|32,783
OTNK/VLCC_TD3_TCE|2000-Apr-07|32,103
OTNK/VLCC_TD3_TCE|2000-Apr-10|33,706
OTNK/VLCC_TD3_TCE|2000-Apr-11|33,597
OTNK/VLCC_TD3_TCE|2000-Apr-12|33,488
OTNK/VLCC_TD3_TCE|2000-Apr-13|34,521
OTNK/VLCC_TD3_TCE|2000-Apr-14|37,838
OTNK/VLCC_TD3_TCE|2000-Apr-17|40,012
OTNK/VLCC_TD3_TCE|2000-Apr-18|39,903
OTNK/VLCC_TD3_TCE|2000-Apr-19|40,365
OTNK/VLCC_TD3_TCE|2000-Apr-20|43,111
OTNK/VLCC_TD3_TCE|2000-Apr-25|41,860
OTNK/VLCC_TD3_TCE|2000-Apr-26|41,180
OTNK/VLCC_TD3_TCE|2000-Apr-27|39,929
OTNK/VLCC_TD3_TCE|2000-Apr-28|39,819
OTNK/VLCC_TD3_TCE|2000-May-02|39,139
OTNK/VLCC_TD3_TCE|2000-May-03|40,172
OTNK/VLCC_TD3_TCE|2000-May-04|40,063
OTNK/VLCC_TD3_TCE|2000-May-05|40,525
OTNK/VLCC_TD3_TCE|2000-May-08|40,416
OTNK/VLCC_TD3_TCE|2000-May-09|42,019
OTNK/VLCC_TD3_TCE|2000-May-10|41,910
OTNK/VLCC_TD3_TCE|2000-May-11|39,517
OTNK/VLCC_TD3_TCE|2000-May-12|38,266
OTNK/VLCC_TD3_TCE|2000-May-15|39,870
OTNK/VLCC_TD3_TCE|2000-May-16|40,513
OTNK/VLCC_TD3_TCE|2000-May-17|41,157
OTNK/VLCC_TD3_TCE|2000-May-18|42,372
OTNK/VLCC_TD3_TCE|2000-May-19|43,016
OTNK/VLCC_TD3_TCE|2000-May-22|45,943
OTNK/VLCC_TD3_TCE|2000-May-23|48,871
OTNK/VLCC_TD3_TCE|2000-May-24|49,515
OTNK/VLCC_TD3_TCE|2000-May-25|50,159
OTNK/VLCC_TD3_TCE|2000-May-26|50,231
OTNK/VLCC_TD3_TCE|2000-May-30|49,733
OTNK/VLCC_TD3_TCE|2000-May-31|49,806
OTNK/VLCC_TD3_TCE|2000-Jun-01|49,308
OTNK/VLCC_TD3_TCE|2000-Jun-02|49,381
OTNK/VLCC_TD3_TCE|2000-Jun-05|49,453
OTNK/VLCC_TD3_TCE|2000-Jun-06|48,955
OTNK/VLCC_TD3_TCE|2000-Jun-07|49,028
OTNK/VLCC_TD3_TCE|2000-Jun-08|49,101
OTNK/VLCC_TD3_TCE|2000-Jun-09|49,173
OTNK/VLCC_TD3_TCE|2000-Jun-12|48,675
OTNK/VLCC_TD3_TCE|2000-Jun-13|48,748
OTNK/VLCC_TD3_TCE|2000-Jun-14|47,679
OTNK/VLCC_TD3_TCE|2000-Jun-15|48,323
OTNK/VLCC_TD3_TCE|2000-Jun-16|48,395
OTNK/VLCC_TD3_TCE|2000-Jun-19|48,468
OTNK/VLCC_TD3_TCE|2000-Jun-20|48,541
OTNK/VLCC_TD3_TCE|2000-Jun-21|49,185
OTNK/VLCC_TD3_TCE|2000-Jun-22|49,257
OTNK/VLCC_TD3_TCE|2000-Jun-23|48,759
OTNK/VLCC_TD3_TCE|2000-Jun-26|48,832
OTNK/VLCC_TD3_TCE|2000-Jun-27|48,334
OTNK/VLCC_TD3_TCE|2000-Jun-28|48,977
OTNK/VLCC_TD3_TCE|2000-Jun-29|49,050
OTNK/VLCC_TD3_TCE|2000-Jun-30|49,123
OTNK/VLCC_TD3_TCE|2000-Jul-03|48,625
OTNK/VLCC_TD3_TCE|2000-Jul-04|48,698
OTNK/VLCC_TD3_TCE|2000-Jul-05|48,199
OTNK/VLCC_TD3_TCE|2000-Jul-06|48,272
OTNK/VLCC_TD3_TCE|2000-Jul-07|47,774
OTNK/VLCC_TD3_TCE|2000-Jul-10|47,847
OTNK/VLCC_TD3_TCE|2000-Jul-11|47,919
OTNK/VLCC_TD3_TCE|2000-Jul-12|47,349
OTNK/VLCC_TD3_TCE|2000-Jul-13|46,778
OTNK/VLCC_TD3_TCE|2000-Jul-14|46,778
OTNK/VLCC_TD3_TCE|2000-Jul-17|47,349
OTNK/VLCC_TD3_TCE|2000-Jul-18|47,349
OTNK/VLCC_TD3_TCE|2000-Jul-19|47,298
OTNK/VLCC_TD3_TCE|2000-Jul-20|48,960
OTNK/VLCC_TD3_TCE|2000-Jul-21|48,909
OTNK/VLCC_TD3_TCE|2000-Jul-24|48,858
OTNK/VLCC_TD3_TCE|2000-Jul-25|51,662
OTNK/VLCC_TD3_TCE|2000-Jul-26|52,753
OTNK/VLCC_TD3_TCE|2000-Jul-27|53,273
OTNK/VLCC_TD3_TCE|2000-Jul-28|54,364
OTNK/VLCC_TD3_TCE|2000-Jul-31|54,313
OTNK/VLCC_TD3_TCE|2000-Aug-01|54,833
OTNK/VLCC_TD3_TCE|2000-Aug-02|54,782
OTNK/VLCC_TD3_TCE|2000-Aug-03|53,589
OTNK/VLCC_TD3_TCE|2000-Aug-04|54,109
OTNK/VLCC_TD3_TCE|2000-Aug-07|55,771
OTNK/VLCC_TD3_TCE|2000-Aug-08|56,862
OTNK/VLCC_TD3_TCE|2000-Aug-09|59,095
OTNK/VLCC_TD3_TCE|2000-Aug-10|62,470
OTNK/VLCC_TD3_TCE|2000-Aug-11|68,129
OTNK/VLCC_TD3_TCE|2000-Aug-14|69,791
OTNK/VLCC_TD3_TCE|2000-Aug-15|73,166
OTNK/VLCC_TD3_TCE|2000-Aug-16|76,541
OTNK/VLCC_TD3_TCE|2000-Aug-17|76,490
OTNK/VLCC_TD3_TCE|2000-Aug-18|75,297
OTNK/VLCC_TD3_TCE|2000-Aug-21|75,817
OTNK/VLCC_TD3_TCE|2000-Aug-22|75,195
OTNK/VLCC_TD3_TCE|2000-Aug-23|74,573
OTNK/VLCC_TD3_TCE|2000-Aug-24|74,522
OTNK/VLCC_TD3_TCE|2000-Aug-25|72,802
OTNK/VLCC_TD3_TCE|2000-Aug-29|71,660
OTNK/VLCC_TD3_TCE|2000-Aug-30|72,231
OTNK/VLCC_TD3_TCE|2000-Aug-31|70,518
OTNK/VLCC_TD3_TCE|2000-Sep-01|68,805
OTNK/VLCC_TD3_TCE|2000-Sep-04|67,663
OTNK/VLCC_TD3_TCE|2000-Sep-05|65,950
OTNK/VLCC_TD3_TCE|2000-Sep-06|65,306
OTNK/VLCC_TD3_TCE|2000-Sep-07|64,663
OTNK/VLCC_TD3_TCE|2000-Sep-08|60,593
OTNK/VLCC_TD3_TCE|2000-Sep-11|60,520
OTNK/VLCC_TD3_TCE|2000-Sep-12|61,018
OTNK/VLCC_TD3_TCE|2000-Sep-13|60,946
OTNK/VLCC_TD3_TCE|2000-Sep-14|60,873
OTNK/VLCC_TD3_TCE|2000-Sep-15|63,084
OTNK/VLCC_TD3_TCE|2000-Sep-18|64,724
OTNK/VLCC_TD3_TCE|2000-Sep-19|65,793
OTNK/VLCC_TD3_TCE|2000-Sep-20|66,292
OTNK/VLCC_TD3_TCE|2000-Sep-21|69,645
OTNK/VLCC_TD3_TCE|2000-Sep-22|71,321
OTNK/VLCC_TD3_TCE|2000-Sep-25|72,427
OTNK/VLCC_TD3_TCE|2000-Sep-26|72,391
OTNK/VLCC_TD3_TCE|2000-Sep-27|68,357
OTNK/VLCC_TD3_TCE|2000-Sep-28|67,750
OTNK/VLCC_TD3_TCE|2000-Sep-29|66,572
OTNK/VLCC_TD3_TCE|2000-Oct-02|66,535
OTNK/VLCC_TD3_TCE|2000-Oct-03|65,357
OTNK/VLCC_TD3_TCE|2000-Oct-04|64,749
OTNK/VLCC_TD3_TCE|2000-Oct-05|63,571
OTNK/VLCC_TD3_TCE|2000-Oct-06|58,505
OTNK/VLCC_TD3_TCE|2000-Oct-09|58,007
OTNK/VLCC_TD3_TCE|2000-Oct-10|54,654
OTNK/VLCC_TD3_TCE|2000-Oct-11|51,872
