# Demo Data base series
MPM_03,COFFA, Crude Oil Freight Forward Agreements, Demo - no description
MPM_04,COSEI, Crude Oil Seaborne Export/Import, Demo - no description
MPM_05,OPSIE, Oil Products Seaborne Import/Export, Demo - no description
MPM_06,GSIE, Gasoline Seaborne Import/Export, Demo - no description
MPM_07,NSIE, Naptha Seaborne Import/export, Demo - no description
MPM_08,JFSIE, Jet Fuel Seaborne Import/Export, Demo - no description
MPM_09,MCSIE, Met Coal Seaborne Import/Export, Demo - no description
MPM_10,SCSIE, Steam Coal Seaborne Import/Export, Demo - no description
MPM_11,IOSIE, Iron Ore Seaborne Import/Export, Demo - no description
MPM_12,NSIE, Nickel Seaborne Import/Export, Demo - no description
MPM_13,BSIE, Bauxite Seaborne Import/Export, Demo - no description
MPM_14,DBFS, Dry Bulk Fleet Stats, Demo - no description
MPM_15,BFUEL, Bunker Fuel, Demo - no description
MPM_16,TPSEC, Tanker Prices - Secondhand, Demo - no description
MPM_17,BPSEC, Bulker Prices - Secondhand, Demo - no description
MPM_18,CONPS, Containership Prices - Secondhand, Demo - no description
MPM_19,TPNEW, Tanker Prices - New, Demo - no description
MPM_20,BPNEW, Bulker Prices - New, Demo - no description
MPM_21,CPNEW, Containership Prices - New, Demo - no description
